المحصول,الفئة,موسم_الزراعة,مدة_النمو,نوع_التربة,احتياجات_الري,التسميد,المناخ_المناسب,ملاحظات
قمح,حبوب,شتوي (أكتوبر–نوفمبر),150–170 يوم,طينية صفراء جيدة الصرف,متوسط,أساس NPK 15-15-15 + سرسوب يوريا/نترات,معتدل بارد ليلًا,يتحمل الملوحة المتوسطة؛ حسّاس للريّ الغزير وقت الطرد
أرز,حبوب,صيفي (مايو–يونيو),120–150 يوم,طينية ثقيلة/غدقة,غزير (غمر),سماد بلدي قبل الحرث + يوريا متقطعة,حار رطب,يحتاج تسوية جيدة؛ أصناف قصيرة لت节 ترشيد الماء
ذرة شامية,حبوب,صيفي (مايو–يونيو),110–130 يوم,صفراء جيدة الصرف,متوسط,NPK متوازن + بوتاسيوم عند التزهير,حار جاف إلى معتدل,حساسة للعطش عند التلقيح
ذرة رفيعة (سورجم),حبوب,صيفي مبكر (أبريل–مايو),100–120 يوم,رملية–صفراء,قليل–متوسط,NPK متوسط + عضوي,حار جاف,تتحمل الملوحة والجفاف نسبيًا
شعير,حبوب,شتوي (نوفمبر),110–140 يوم,طينية–صفراء,قليل–متوسط,NPK عند الزراعة + نترات أمونيوم,بارد معتدل,يتحمل الملوحة أكثر من القمح
دخن,حبوب,صيفي (مايو),90–110 يوم,رملية–صفراء,قليل,NPK خفيف,حار جاف,مناسب للأراضي الهامشية
شوفان,حبوب,شتوي (نوفمبر),120–150 يوم,طينية–صفراء,متوسط,NPK + نترات,بارد معتدل,صلحي للأعلاف والحبوب
فول بلدي,بقوليات,شتوي (أكتوبر–نوفمبر),140–180 يوم,طينية–صفراء,متوسط,فسفور وكالسيوم + رشة بورون؛ تثبيت نيتروجيني,معتدل بارد,حساس للذباب الأسود والمن
عدس,بقوليات,شتوي (نوفمبر),110–130 يوم,صفراء جيدة الصرف,قليل–متوسط,فسفور أساسي؛ نيتروجين بسيط,معتدل بارد,لا يحتمل الغمر
حمص,بقوليات,شتوي (نوفمبر–ديسمبر),120–150 يوم,صفراء–رملية,قليل,فسفور + بوتاسيوم,معتدل بارد وجاف,حساس للفطريات عند الرطوبة العالية
لوبيا حبوب,بقوليات,صيفي (مايو),70–90 يوم للقرون؛ 100–120 للحبوب,رملية–صفراء,متوسط,NPK خفيف؛ تثبيت نيتروجيني,حار معتدل,تتحمل الحر نسبيًا
فاصوليا جافة/خضراء,بقوليات,شتوي مبكر/عروة صيفية مبكرة,60–85 يوم للخضر؛ 90–110 للجافة,صفراء جيدة الصرف,متوسط,فسفور + بوتاسيوم + كالسيوم,معتدل,حساسة للبرد والصقيع
ترمس,بقوليات,شتوي (نوفمبر),120–150 يوم,رملية–صفراء,قليل–متوسط,فسفور + كبريت,بارد معتدل,يناسب الأراضي الرملية الفقيرة
فول صويا,محاصيل زيتية,صيفي (مايو–يونيو),100–140 يوم,صفراء جيدة الصرف,متوسط,NPK متوازن + بوتاسيوم,حار معتدل,حساس للعطش أثناء العقد
سمسم,محاصيل زيتية,صيفي متأخر (يونيو),90–120 يوم,رملية–صفراء,قليل,NPK خفيف + عضوي,حار جاف,يتحمل الجفاف والملوحة نسبيًا
فول سوداني,محاصيل زيتية,صيفي (أبريل–مايو),120–150 يوم,رملية خفيفة,متوسط,كالسيوم + جبس زراعي + NPK,حار معتدل,يحتاج تفكيك للتربة؛ حسّاس لزيادة الري
كرتون/قرطم,محاصيل زيتية,شتوي (نوفمبر),140–160 يوم,صفراء–طينية,قليل–متوسط,NPK + بوتاسيوم,بارد معتدل,يتحمل الملوحة والجفاف
لفت زيتي/كانولا,محاصيل زيتية,شتوي (نوفمبر),120–150 يوم,صفراء جيدة الصرف,متوسط,NPK + كبريت,بارد معتدل,تنافس جيدة للقمح في الدورة
قطن,تصنيعية,صيفي (أبريل),150–180+ يوم,صفراء–طينية جيدة الصرف,متوسط,NPK + بوتاسيوم عالي + بورون,حار معتدل,حساس للدودة الشوكية؛ يحتاج تقليم خفيف
قصب سكر,تصنيعية,ربيعي/خريفي,12–18 شهر,طينية–صفراء عميقة,غزير,عضوي وفوسفور عالي + بوتاسيوم,حار معتدل,يحتاج صرف جيّد ومكافحة حشائش قوية
