name,name_en,gov,adm_level,place_type,lat,lon
دهب,Dahab,,,city,28.4963633,34.5145652
عصلة,Assalah,,,suburb,28.5050301,34.5141469
Medina,,,,suburb,28.4849689,34.4961162
خليج نعامة,,,,suburb,27.9132571,34.3266603
خليج نبق,Nabq Bay,,,suburb,28.0424658,34.4336718
شرم القديمة,Old Sharm,,,suburb,27.8612753,34.2985104
الغردقة,Hurghada,,,city,27.222556,33.8307062
الجونة,El Gouna,,,town,27.3989266,33.6741556
مرسى علم,Marsa Alam,,,city,25.069992,34.893817
القصير,El Quseir,,,city,26.104836,34.279764
سفاجا,Safaga,,,city,26.7633325,33.9383817
السويس,Suez,,,city,29.974498,32.537086
بورسعيد,Port Said,,,city,31.263235,32.305505
الإسكندرية,Alexandria,,4,city,31.1991806,29.8951716
الجيزة,Giza,,,city,29.9870753,31.2118063
رأس سدر,Sudr Cape,,,town,29.593487,32.718536
الأدبية,Al Adabiyah,,,town,29.9007515,32.4569409
بور غالب,Port Ghalib,,,town,25.531711,34.633762
بنها,Banha,,,city,30.4624974,31.184063
بيلا,Biala,,,town,31.1727635,31.2209802
تيرة,Tirah,,,village,31.0908163,31.2432469
المنصورة,El Mansura,,,city,31.037566,31.38649
محلة الكبرى,El Mahalla El Kubra,,,city,30.9723517,31.1683002
نخل,Nekhel,,,city,29.9114539,33.7459874
قها,Qaha,,,town,30.280632,31.206051
طوخ,Tukh,,,town,30.3540508,31.200979
ميت غمر,Mit Ghamr,,,town,30.7169001,31.2577644
زفتى,Zifta,,,town,30.7152872,31.2470999
اجا,Aga,,,town,30.9419854,31.2903765
القاهرة,Cairo,,2,city,30.0443879,31.2357257
Sheikh Abd el-Qurna,Sheikh Abd el-Qurna,,,hamlet,25.7308478,32.6095038
الجزيرة الوسطى,Al-Gezira,,,hamlet,25.7074411,32.6321229
قرنة الجديدة,New Qurna,,,hamlet,25.7147184,32.6248344
دمياط,Damietta,,,city,31.4167427,31.8213657
الشلاتين,Ash Shalatin,,,city,23.1061832,35.5639423
الشروق,The Sunrise,,,city,30.1488541,31.6295623
الزقازيق,Zagazig,,,city,30.5853431,31.5035127
دمنهور,Damanhur,,,city,31.0374982,30.4710625
قنا,Qena,,,city,26.1593097,32.7162855
السادس من أكتوبر,6th of October,,,city,29.9723458,30.9409205
شبين الكوم,Shibin El Kawm,,,city,30.5545106,31.0097923
مرسى مطروح,Marsa Matruh,,,city,31.3528567,27.2395262
الحوامدية,Al-Hawamidyah,,,town,29.892851,31.2672452
دسوق,Dusuq,,,city,31.128233,30.646198
قليوب,Qalyub,,,town,30.178875,31.206436
أبو كبير,Abu Kabir,,,city,30.72517,31.6708449
جرجا,Girga,,,city,26.337437,31.8911758
السلوم,As Sallum,,,town,31.5516178,25.1542126
القرية الذكية,Smart Village,,,village,30.0719412,31.0185288
العبور,The Crossing,,,city,30.1914,31.450548
عابدين,Abdin,,,suburb,30.044988,31.2488627
بولاق,Boulak,,,suburb,30.0591855,31.2341778
أبو النمرس,Abu An Numrus,,,village,29.9543038,31.2208503
شبرمنت,Shabramant,,,village,29.9407683,31.1901228
البدرشين,El Badrashein,,,village,29.8513253,31.2744094
إمبابة,Imbaba,,,suburb,30.088512,31.215927
الدقى,Dokki,,,suburb,30.0388955,31.2125563
العجوزة,El Agouza,,,suburb,30.0549435,31.2127281
منشية ناصر,Manshiet Naser,,,suburb,30.0363319,31.2763286
روض الفرج,Rod El-Farag,,,suburb,30.0732299,31.2363328
السبتية,Al-Sabtiyya,,,suburb,30.0648978,31.2298942
مصر القديمة,Masr Al-Qadima,,,suburb,30.0072008,31.229366
بولاق الدكرور,Bulaq Al-Dakrour,,,suburb,30.0338799,31.1910129
السيدة زينب,Al-Sayyida Zeinab,,,suburb,30.0273241,31.2404117
الغورية,El-Ghuriyya,,,suburb,30.0452852,31.2601925
بلقس,Balaqs,,,village,30.1770721,31.2811174
ميت حلفا,Mit Halfa,,,village,30.1605243,31.2373436
ميت نما,Mit Nama,,,village,30.1457317,31.2351206
منشأة البكاري,Minshat Al Bekari,,,village,30.0163974,31.1404936
ناهيا,Nahia,,,village,30.0483495,31.1264174
بشتيل البلد,Bashteel Al-Balad,,,village,30.086827,31.1858122
كفر الحكيم,Kafr Hakim,,,village,30.0819253,31.118006
منصورية,Mansuriya,,,village,30.136573,31.0747473
برقاش,Birqash,,,village,30.168338,31.042303
نكلة,Nekla,,,village,30.1751552,31.0499423
كوم اشفين,Kom Eshfin,,,village,30.1802133,31.2565364
سندوة,Sindawa,,,village,30.248521,31.3113825
نوى,Nawa,,,village,30.2283474,31.2634115
واحة سيوة,Siwa Oasis,,,city,29.2034664,25.5192273
شبين القناطر,Shebin el Qanater,,,town,30.3125348,31.317601
بني زيد,Beni Zeid,,,village,27.2220156,31.1498511
أبنوب,Abnub,,,town,27.269181,31.151736
معدبة,Madaba,,,village,27.3375103,31.02368
الظاهر,Al-Zaher,,,suburb,30.0639735,31.2594293
القاهرة الإسلامية,Islamic Cairo,,,suburb,30.0487472,31.2637754
الخامس عشر من مايو,Fifteenth Of May,,,city,29.8320418,31.3647679
بدر,Badr,,,city,30.142806,31.742824
الشيخ زايد,Sheikh Zayed,,,city,30.048347,30.9832235
الوايلى,El-Waily,,,suburb,30.0668177,31.2760789
منيل شيحا,Manial Shiha,,,village,29.9529555,31.2395844
حدائق حلوان,Hadayek helwan,,,suburb,29.8968261,31.3009298
وادي حوف,Wadi Hof,,,suburb,29.8827544,31.3053071
غمازه الكبرى,Ghamaza Al-Kubra,,,village,29.7081962,31.2996952
قبلية,Qiblya,,,village,29.7290678,31.3034717
دهشور,Dahshur,,,village,29.751277,31.240815
برنشت,Berenshet,,,village,29.692983,31.2480202
تهما,Tahma,,,village,29.6306352,31.2349788
بهما,Bahma,,,village,29.5891453,31.2378971
الفهميين,Al-Fahmyyin,,,village,29.5967581,31.2890521
سقارة,Saqqara,,,village,29.850335,31.228284
المعصرة,Al-Maasara,,,suburb,29.9091281,31.2912838
المنوات,Al-Manawat,,,village,29.9214777,31.2447635
طموه,Tomouh,,,village,29.9359084,31.2641613
سقيل,Saqeel,,,village,30.1331347,31.1668408
طناش,Tanaash,,,village,30.1251429,31.1926195
القبابات,Al-Qobabat,,,village,29.4643452,31.2718725
الكداية,Al-Kedaya,,,village,29.4504473,31.2380597
ميدوم,Meidoum,,,village,29.3729622,31.1713734
المصلوب,Al-Masloub,,,village,29.320621,31.1978865
قمن العروس,Qomn Al-Arous,,,village,29.3030781,31.1689701
أبو صير الملق,Abu Seer Al-Malaq,,,village,29.2511503,31.093173
ببا,Biba,,,town,28.9214178,30.985374
الفشن,Fashn,,,town,28.8232566,30.8995433
مغاغة,Maghagha,,,town,28.6461831,30.8408123
بنى مزار,Beni Mazar,,,town,28.4962396,30.802898
مطاى,Matai,,,village,28.4176905,30.7861579
سمالوط,Samalut,,,town,28.3109569,30.7103816
القوصية,Al Qusiya,,,town,27.4390218,30.8161641
منفلوط,Manfalut,,,town,27.3114314,30.9722043
ام القصور,Um el Qusur,,,village,27.3896494,30.894785
أبو تيج,Abu Tig,,,town,27.0432988,31.3196407
النخيلة,El Nikhela,,,village,27.0197509,31.3445316
صدفا,Sidfa,,,town,26.9656025,31.3795505
طما,Tima,,,town,26.905611,31.435855
اولاد الياس,Awlad Ilyas,,,village,26.9346928,31.4046129
طهطا,Tahta,,,town,26.7676025,31.4955936
المراغة,Maragha,,,town,26.6993785,31.6039119
المنشاة,Al-Manshah,,,town,26.4761397,31.803105
البندار,Al-Bindar,,,village,26.3677984,31.8450961
البلينا,Balyana,,,town,26.2332974,32.0019946
فرشوط,Farshut,,,town,26.0542345,32.1649013
نجع حمادي,Nag Hammadi,,,town,26.0489911,32.2416339
دشنا,Dishna,,,town,26.119088,32.463076
الوقف,Waqf,,,village,26.085228,32.4237666
قفـط,Qift,,,town,25.998703,32.816013
قوص,Qus,,,town,25.915666,32.762969
إسنا,Esna,,,town,25.2936689,32.5531993
كوم أمبو,Kawm Ombo,,,town,24.4762478,32.9495225
دراو,Daraw,,,town,24.407994,32.924674
دكرنس,Dikirnis,,,town,31.0875714,31.5949593
سلوى بحر,Silwa Bahari,,,village,24.7342471,32.9436609
فارس,Faris,,,town,24.6144485,32.9038355
دابود,Dabud,,,village,24.5705872,32.9481241
منيحة,Maniha,,,village,24.4814126,32.885811
أقليت,Iqlit,,,village,24.5279599,32.9009172
مدينة صحارى,Sahara City,,,village,23.9770041,32.8471443
الدير الطيبه,Deir,,,village,30.3354724,31.2743853
مشتول السوق,Mashtul Al-Suq,,,town,30.3609392,31.3800534
منشاه الكرام,Mansha'at Al-Karaam,,,village,30.3246414,31.3603229
كفر ابراش,Kafr Ibrash,,,village,30.3930744,31.369936
انشاص,Anshas,,,village,30.377674,31.455767
الزوامل,Al-Zawamel,,,village,30.3520498,31.4363689
الغفارية,Al-Ghafaria,,,village,30.3544203,31.4075298
سلمنت,Salamant,,,village,30.3699723,31.4238377
المنير,Al-Munir,,,village,30.3154541,31.3960285
ميت كنانه,,,,village,30.3844859,31.2588711
طنان,Tanan,,,village,30.2431119,31.2458249
سنديون,Sindiyun,,,village,30.2465227,31.2070294
ابو زعبل البلد,Abu Zaabal A-Balad,,,village,30.2492546,31.3531244
ميت حبيب,Mit Habib,,,village,30.4330739,31.4377613
دهمشا,Dahmasha,,,village,30.4039806,31.4075022
كفر حفنا,Kafr Hefna,,,hamlet,30.4071637,31.4436368
ابراش,Abrash,,,hamlet,30.4083482,31.3747149
كفر دهمشا,Kafr Dahamsha,,,hamlet,30.4135328,31.390256
Minyat Salamant,,,,hamlet,30.383032,31.3862219
الصحافة,Al-Sahafa,,,village,30.3337759,31.4007234
طحا نوب,Taha Noub,,,village,30.2795391,31.2961856
كفر طحا,Kafr Tahha,,,village,30.268933,31.2994901
البرادعة,Al-Baradaa,,,village,30.2334124,31.1509904
المنيرة,Al-Munira,,,village,30.2445352,31.1231813
أجهور الكبرى,Aghour Al-Kubra,,,town,30.299241,31.1491022
أجهور الصغرى,Aghour Al-Sughra,,,village,30.2679631,31.1412057
قرنفيل,Oronfeel,,,village,30.2780443,31.1611185
كفرشبين,Kafr Shebin,,,village,30.2961285,31.3047987
المريج,Al-Mareeg,,,village,30.2866421,31.3168067
أبو قير,Abu Qir,,,town,31.3203016,30.0641979
مطر طارس,Matir Faris,,,town,29.3635717,30.9041808
اللاهون,Lahun,,,village,29.2095096,30.9795402
سيلا,,,,village,29.3530986,30.9699272
سنورس,Sinnuris,,,town,29.4136604,30.8680479
العجميين,Al-Agamyeen,,,village,29.3388835,30.7208465
سنرو القبليه,Sinru Al-Qebleya,,,village,29.361926,30.7548354
ابوجنشو,Abu Genshu,,,village,29.3717655,30.6551876
ابوكساح,Abu Ksah,,,village,29.385412,30.7064269
قارون,Qarun,,,village,29.4081458,30.4109966
الشواشنه,Al-Shawashna,,,village,29.3740436,30.6078933
الصبيحي,Al-Sebehy,,,village,29.3936383,30.5265258
Zirbi,,,,village,29.4222008,30.9268401
Sirsina,,,,village,29.399172,30.9652923
أطسا,Itsa,,,town,29.2405098,30.8002018
البرمكي,Al-Baramky,,,village,29.2734714,30.8131933
دسية,Desya,,,village,29.2947291,30.7677101
عتامنة المزارعه,Atamet Al-Mozaraa,,,village,29.2785624,30.733036
قلمشاة,Qalamshah,,,village,29.1618516,30.8420394
الغرق,Al-Gharaq,,,town,29.1357683,30.6930389
منيا القمح,Minya Al-Qamh,,,town,30.5119266,31.3465379
بئر قطية,Qatia Well,,,village,30.9542879,32.7457497
بئر العبد,Bir al Abd,,,town,31.018138,33.0116944
الواحات الخارجة,Al Kharja Oases,,,city,25.4522583,30.5416007
موط,Mut,,,town,25.4894682,28.9865889
باريس,Baris,,,town,24.673692,30.605118
الباويطى,Bawiti,,,town,28.35182,28.862992
اللواء صبيح,Al-Lewa Sobeih,,,village,27.0634149,27.8761115
أبو منقار,Abu Minqar,,,town,26.506222,27.662008
